fileName,cleanTitle,url,date,size,genre,rating,coverSearchUrl_thegamesdb,thegamesdbGamePage,thegamesdbDescription
"Army Men - Sarge's War (Europe) (En,Fr,De,Es,It).zip",Army Men - Sarge's War,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Army%20Men%20-%20Sarge%27s%20War%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip,28-Mar-2022 23:25,3.0 GiB,Shooter,7.0,https://thegamesdb.net/search.php?name=Army%20Men%20-%20Sarge%27s%20War&platform=11,https://thegamesdb.net/game.php?id=23631,"A new enemy, Colonel Malice, threatens the very existence of the Green nation. Now, with his squad destroyed, Sarge becomes a one-man army out to stop Colonel Malice and the Tan army at all costs. Guide Sarge through 12 dangerous levels, which span both the real world and the world of toys. Sarge can wield authentic weapons such as assault rifles, shotguns, bazookas, time bombs, and more."
Atelier Iris - Eternal Mana (USA).zip,Atelier Iris - Eternal Mana,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Atelier%20Iris%20-%20Eternal%20Mana%20%28USA%29.zip,28-Mar-2022 13:12,1.8 GiB,RPG,8.0,https://thegamesdb.net/search.php?name=Atelier%20Iris%20-%20Eternal%20Mana&platform=11,https://thegamesdb.net/game.php?id=126185,"No overview is currently available for this title, please feel free to add one."
Atelier Iris 2 - The Azoth of Destiny (USA).zip,Atelier Iris 2 - The Azoth of Destiny,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Atelier%20Iris%202%20-%20The%20Azoth%20of%20Destiny%20%28USA%29.zip,28-Mar-2022 09:18,1.2 GiB,RPG,8.1,https://thegamesdb.net/search.php?name=Atelier%20Iris%202%20-%20The%20Azoth%20of%20Destiny&platform=11,https://thegamesdb.net/game.php?id=9629,"The story of Atelier Iris 2: The Azoth of Destiny follows Viese and Felt, two orphans from the land of Eden. At the beginning of the story an earthquake has caused vast portions of the land to disappear! Viese and Felt have volunteered to find out what has happened and to prevent the world of Eden from being destroyed completely. With the aid of a magical sword called the Azure Azoth, Felt sets off through a gate to another world called Belkhyde to search for the answer to their trouble while Viesa remains in Eden to take care of things there. Throughout the game you control Viesa and Felt on their quest. Viesa has just become an alchemist; with the help of the Mana spirits of the world, this gives her the ability to take various items and magically form new items. In order to create a new item, Viesa will need a recipe indicating what ingredients to combine as well as those ingredients. All of these items can be found in various locations throughout the lands, some in Eden and some in Belkhyde. Many of the items Viesa can create with alchemy will be of great help to Felt as he explores Belkhyde and fights in battles; since Felt doesn't have the ability to create items, they will need the help of a share ring which provides the ability to exchange items even though they are in two different worlds. To progress through the game, Felt will often need to coordinate with Viesa to get useful items for either solving puzzles or making battles easier. As Felt explores Belkhyde, he will meet numerous other characters and will need to undergo various quests in order to save Eden."
Baldur's Gate - Dark Alliance (USA).zip,Baldur's Gate - Dark Alliance,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Baldur%27s%20Gate%20-%20Dark%20Alliance%20%28USA%29.zip,29-Mar-2022 17:45,2.9 GiB,RPG,8.7,https://thegamesdb.net/search.php?name=Baldur%27s%20Gate%20-%20Dark%20Alliance&platform=11,https://thegamesdb.net/game.php?id=5899,"The threat of the Onyx Tower has passed for now, but mere moments pass before a new threat to the Sword Coast arises. The heroes of the Onyx Tower have disappeared, so the fate of Baldur's Gate now rests on the shoulders of five wandering adventurers who are only now journeying into the region. Baldur's Gate: Dark Alliance II can be played solo or cooperatively with one other player, each choosing from 5 playable characters. The gameplay is the same as its previous incarnation: kill monsters and bad guys to collect treasure, items, and experience. By talking to townspeople in Baldur's Gate the player can learn of optional maps filled with more dangerous monsters and additional treasure. Equipment can be enchanted by the player this time, and given various magical effects such as additional fire damage, absorbing mana, or boosting stats."
Baldur's Gate - Dark Alliance II (USA).zip,Baldur's Gate - Dark Alliance II,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Baldur%27s%20Gate%20-%20Dark%20Alliance%20II%20%28USA%29.zip,29-Mar-2022 09:31,2.2 GiB,RPG,8.6,https://thegamesdb.net/search.php?name=Baldur%27s%20Gate%20-%20Dark%20Alliance%20II&platform=11,https://thegamesdb.net/game.php?id=5899,"The threat of the Onyx Tower has passed for now, but mere moments pass before a new threat to the Sword Coast arises. The heroes of the Onyx Tower have disappeared, so the fate of Baldur's Gate now rests on the shoulders of five wandering adventurers who are only now journeying into the region. Baldur's Gate: Dark Alliance II can be played solo or cooperatively with one other player, each choosing from 5 playable characters. The gameplay is the same as its previous incarnation: kill monsters and bad guys to collect treasure, items, and experience. By talking to townspeople in Baldur's Gate the player can learn of optional maps filled with more dangerous monsters and additional treasure. Equipment can be enchanted by the player this time, and given various magical effects such as additional fire damage, absorbing mana, or boosting stats."
"Batman - Rise of Sin Tzu (USA) (En,Fr,Es).zip",Batman - Rise of Sin Tzu,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Batman%20-%20Rise%20of%20Sin%20Tzu%20%28USA%29%20%28En%2CFr%2CEs%29.zip,30-Mar-2022 05:14,3.3 GiB,Action,7.3,https://thegamesdb.net/search.php?name=Batman%20-%20Rise%20of%20Sin%20Tzu&platform=11,https://thegamesdb.net/game.php?id=17930,"A new evil rises! Beyond madness, beyond evil and driven by a single desire: to conquer, Sin Tzu is an enemy unlike any Batman has ever faced. Batman calls upon allies Robin, Nightwing, and Batgirl to stem the tide of this new rising evil."
Batman Begins (USA).zip,Batman Begins,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Batman%20Begins%20%28USA%29.zip,28-Mar-2022 10:27,1.7 GiB,Action,7.8,https://thegamesdb.net/search.php?name=Batman%20Begins&platform=11,https://thegamesdb.net/game.php?id=115575,"In this adaptation of the film of the same name, the origins of the Batman legend are explored. Playing as both Bruce Wayne and his alter-ego, Batman, you will need to hunt evil forces in familiar locations such as Arkham asylum, Gotham City, but also in the Himalaya. Using both stealth and brutal skills, you take on enemies in true beat-em-up style. Batman has a vast array of moves, from kicks and punches to more exotic special moves. Multiple enemies can be attacked at once, and there are tricks to break through enemies' defenses. Also, certain attacks can only be used as a finishing move when opponents are weakened."
Battlefield 2 - Modern Combat (USA) (Demo 1).zip,Battlefield 2 - Modern Combat,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Battlefield%202%20-%20Modern%20Combat%20%28USA%29%20%28Demo%201%29.zip,30-Mar-2022 06:41,213.9 MiB,Shooter,8.0,https://thegamesdb.net/search.php?name=Battlefield%202%20-%20Modern%20Combat&platform=11,https://thegamesdb.net/game.php?id=124108,"Although called Battlefield 2, this is the first of the Battlefield series to pass over to console. Vehicles like the Humvees, tanks, APCs and helicopters all make it into the game although fixed wing aircraft are noticeable absent. Multiplayer allows up to 24 players battle it out in a Conquest mode where you capture flags and maintain control of them until the enemy tickers run down, or Capture the Flag which is all out attack to get the enemy flag back to your own base. A single player campaign, which is story led, see's China and USA go up against each other in Kazakhstan. Throughout the single player campaign you switch between China and USA armies as you follow orders based on news reports which show both sides of the war giving you a view of how war is and how it's reported. The new Hot Swap feature allows you to jump into almost any other allied troop on the battlefield which saves loads of running and gets you into the best position for your next attack or defense."
"Beyond Good & Evil (USA) (En,Fr,Es).zip",Beyond Good & Evil,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Beyond%20Good%20%26%20Evil%20%28USA%29%20%28En%2CFr%2CEs%29.zip,29-Mar-2022 06:48,1.5 GiB,Adventure,8.8,https://thegamesdb.net/search.php?name=Beyond%20Good%20%26%20Evil&platform=11,https://thegamesdb.net/game.php?id=7920,"Beyond Good & Evil takes place in the year 2435 on the mining planet of Hillys, located in Sector Four, a remote section of the galaxy. The architecture of the city around which the game takes place was designed with a rustic European style. The world itself combines modern elements, such as e-mail and credit cards, with those of science fiction and fantasy, such as spaceships and anthropomorphic animals coexisting with humans. The once-peaceful planet is under siege by aliens called the DomZ that abduct beings and either drain their life force for power or implant them with spores to convert them into slaves. A military dictatorship called the Alpha Sections takes power, promising to defend the populace. However, the Alpha Sections seem unable to stop the DomZ despite their public assurances. An underground resistance movement, the IRIS Network, fights the Alpha Sections, believing them to be in league with the DomZ."
Black (USA).zip,Black,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Black%20%28USA%29.zip,28-Mar-2022 20:09,1.2 GiB,Action,8.3,https://thegamesdb.net/search.php?name=Black&platform=11,https://thegamesdb.net/game.php?id=9633,"Black & Bruised is a cartoonish take on boxing with 18 different boxers, each with their own personality and fighting style. There are five different modes including multi-player, exhibition and a story mode told with CG with each boxer's life story is played out in story mode. Each boxer has a different special attack and power-ups can be picked up to use in matches. There are 30 different facial expressions for each boxer reacting to punches and misses giving them a life-like appearance."
Bleach - Blade Battlers (Japan).zip,Bleach - Blade Battlers,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Bleach%20-%20Blade%20Battlers%20%28Japan%29.zip,29-Mar-2022 00:02,1.0 GiB,Fighting,7.6,https://thegamesdb.net/search.php?name=Bleach%20-%20Blade%20Battlers&platform=11,https://thegamesdb.net/game.php?id=81967,"Bleach Blade Battlers is the first installment of the Blade Battlers series and was released in Japan on October 12, 2006. The game features 23 playable characters."
Bleach - Blade Battlers 2nd (Japan).zip,Bleach - Blade Battlers 2nd,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Bleach%20-%20Blade%20Battlers%202nd%20%28Japan%29.zip,28-Mar-2022 05:47,1.0 GiB,Fighting,7.7,https://thegamesdb.net/search.php?name=Bleach%20-%20Blade%20Battlers%202nd&platform=11,https://thegamesdb.net/game.php?id=80632,A four player 3d arena fighting game set in the world of Bleach.
BloodRayne (USA).zip,BloodRayne,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/BloodRayne%20%28USA%29.zip,29-Mar-2022 03:07,787.7 MiB,Action,7.8,https://thegamesdb.net/search.php?name=BloodRayne&platform=11,https://thegamesdb.net/game.php?id=4939,"In the FMV, Rayne is first seen staring at a place on fire. The next scene happens before the fire. Rayne is seen entering a library (called Blood library), with a few Nazis inside. Knowing Kagan is here (who is an influential Nazi collaborator), she declares she is here to kill him. Kagan notices she is here, but is not moved by her presence. He knows it is his offspring (but does not know her name), but says she smells ""tainted"", asking who was her mother. He does not know her mothers name, saying he is ""terrible with names"", but does not care, knowing she died with her family. He appears pre-occupied, looking for something. He finds what he was looking for, called the ""Vesper Shard"". Knowing Rayne still wants to kill him, he then brings Professor Trumain up from the floor, severely beaten, showing his own small intestine around his neck. Kagan knows that they know each other, and that Trumain ""stole"" yet another offspring from him. During his talk, he speculates that the Brimstone Society knew the Vesper Shard's powers, and was eventually going to kill their Vampire allies such as Rayne. Trumain then pulls out a detonator, first giving time for Rayne to run, then detonates the grenade."
BloodRayne 2 (USA).zip,BloodRayne 2,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/BloodRayne%202%20%28USA%29.zip,28-Mar-2022 14:25,3.5 GiB,Action,7.6,https://thegamesdb.net/search.php?name=BloodRayne%202&platform=11,https://thegamesdb.net/game.php?id=121841,"BloodRayne is a killing machine. The Brimstone Society calls upon this half-vampire, half-human agent to take on two missions in the years between the world wars. At the root of these missions is one man who searches for powerful occult artifacts that would bring Germany into a new age of domination. As BloodRayne, you must stop this man's elite Nazi army from releasing terrorizing creatures onto the world. With melee attacks, weapons, and bloodsucking abilities, your enemies won't stand a chance."
Breath of Fire - Dragon Quarter (USA).zip,Breath of Fire - Dragon Quarter,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Breath%20of%20Fire%20-%20Dragon%20Quarter%20%28USA%29.zip,29-Mar-2022 14:49,994.2 MiB,RPG,7.8,https://thegamesdb.net/search.php?name=Breath%20of%20Fire%20-%20Dragon%20Quarter&platform=11,https://thegamesdb.net/game.php?id=9636,"Breath of Fire: Dragon Quarter is a radical departure from the previous titles of the Breath of Fire series, and in some ways from standard Japanese-style role-playing games in general. The game is built like a huge dungeon crawler, with no overworld map. The combat is tactical: each character has action points (AP), which can be used to move around the screen during an enemy encounter, and perform a variety of combo attacks. There is no magic in the game, and many of the items found in dungeons are random. All the enemies are visible on screen. Depending on who first initiated a physical contact, the party or the enemies get an extra turn in battles. The game allows (and even encourages) the player to restart it from the beginning, keeping the items and the party experience. The game also features a special counter - Ryu can use his traditional dragon transformation abilities, but the counter raises with each such transformation, and when the counter reaches 100, the game is over. Raising the D-ratio allows characters to access new areas every time the game is replayed."
Brothers in Arms - Earned in Blood (USA).zip,Brothers in Arms - Earned in Blood,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Brothers%20in%20Arms%20-%20Earned%20in%20Blood%20%28USA%29.zip,29-Mar-2022 16:47,1.8 GiB,Shooter,8.3,https://thegamesdb.net/search.php?name=Brothers%20in%20Arms%20-%20Earned%20in%20Blood&platform=11,https://thegamesdb.net/game.php?id=4414,"The story is essentially told as a ""reflection"" on the events that took place earlier, as Army historian Colonel S.L.A. Marshall is interviewing paratroopers 15+ days after D-Day. The story is divided into three parts. The first part of the game is recollection of Hartsock's time in Sergeant Matt Baker's squad during the initial D-Day invasion. The second part picks up when he takes command of 2nd Squad, 3rd Platoon during the liberation and defense of Carentan, and the eventual link up between 82nd and 101st Airborne Division at the town of Baupte. The final part will take place in and around Saint-Sauveur-le-Vicomte. Although the first part takes place under Baker's command, every mission is one not included in Road to Hill 30. The player commands Desola, Allen, and Garnett from 3rd Squad, and some soldiers from 2nd Squad at first. Then the game switches the player to command the entire 2nd Squad after the Battle of Bloody Gulch (Hill 30). Hartsock's squad consists of the remains of the original 2nd Squad (Cpl. Franklin Paddock, Pvt. Dean ""Friar"" Winchell, and Pfc. James Marsh) and the remnants of 1st Squad (Cpl. Jacob Campbell, Pvt. Will Paige, and Pvt. Derrick McConnell). In addition, the player will also be in command of Corporal (later promoted to Sergeant) Seamus Doyle of the 82nd Airborne during the initial D-Day invasion in early parts of the game."
Brothers in Arms - Road to Hill 30 (USA).zip,Brothers in Arms - Road to Hill 30,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Brothers%20in%20Arms%20-%20Road%20to%20Hill%2030%20%28USA%29.zip,28-Mar-2022 22:37,2.0 GiB,Shooter,8.5,https://thegamesdb.net/search.php?name=Brothers%20in%20Arms%20-%20Road%20to%20Hill%2030&platform=11,https://thegamesdb.net/game.php?id=4413,"Brothers in Arms is based on the true story of the 502nd Parachute Infantry Regiment of the famed 101st Airborne Division who were dropped behind German Lines on D-Day. The game is based on the historical Mission Albany, in which the player has to complete true-to-life missions of the 101st. Baker's squad consists of Cpl. Joe ""Red"" Hartsock, Cpl. Sam Corrion, Pfc. Jack Courtland, Pfc. Stephan ""Obi"" Obrieski, Pvt. Larry Allen, Pvt. Johnny Rivas, Pvt. Michael Desola, Pvt. David Muzza, Pfc. Thomas ""Zano"" Zanovich, Pvt. Michael Garnett and Pvt. Dale ""Kid"" McCreary. The Radioman is Pfc. Kevin Benjamin ""Legs"" Leggett. The squad is one of three under Platoon Sgt. Greg ""Mac"" Hassay. ""Mac"" served under Sgt. Baker's father, whom he had much respect for, in the First World War and has promised to himself to make Sgt. Baker into a good soldier."
Bully (USA).zip,Bully,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Bully%20%28USA%29.zip,29-Mar-2022 00:11,2.3 GiB,Action,8.7,https://thegamesdb.net/search.php?name=Bully&platform=11,https://thegamesdb.net/game.php?id=73141,"Bully is an open-world game starring Jimmy Hopkins, a troubled teenager with a strong distaste for authority figures and bullies alike. After being ejected from a number of schools, Jimmy ends up at Bullworth Academy, a private school modeled largely after the ostensibly prestigious private schools. The main storyline in Bully concerns Jimmy's dealings with the various cliques and faculty within the school, as well as a sociopathic student named Gary Smith."
Burnout 3 - Takedown (USA).zip,Burnout 3 - Takedown,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Burnout%203%20-%20Takedown%20%28USA%29.zip,29-Mar-2022 05:22,1.9 GiB,Racing,9.2,https://thegamesdb.net/search.php?name=Burnout%203%20-%20Takedown&platform=11,https://thegamesdb.net/game.php?id=4158,"Burnout 3: Takedown is a racing game which encourages aggressive driving and lets you use your vehicle to smash your way to the finish line by taking out your rivals and causing massive multi-car pileups. The more cars you take out, damage you inflict, the more events and cars you can unlock. Burnout 3 also has a ""crash"" mode which puts your vehicle at a variety of traffic junctions jam-packed with moving vehicles and pickups to see just how much monetary damage you can inflict. Burnout 3: Takedown continues the racing series with more cars, more tracks, a more detailed crash engine, and a multitude of new gameplay modes for single players, multiple players on one system, and online play."
Burnout Revenge (USA).zip,Burnout Revenge,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Burnout%20Revenge%20%28USA%29.zip,29-Mar-2022 03:40,1.8 GiB,Racing,8.8,https://thegamesdb.net/search.php?name=Burnout%20Revenge&platform=11,https://thegamesdb.net/game.php?id=95379,"In Burnout Revenge, players compete in a range of racing game types with different aims. These take place within rush-hour traffic, and include circuit racing, Road Rage (where players cause as many rivals to crash as possible within a time limit, or until the player's car is wrecked), Burning Lap (a single-lap, single-racer time attack mode), Eliminator (a circuit race where every thirty seconds, the last-placed racer's car is detonated; the race continues until only one racer is left), and Crash (where the player is placed at a junction with the aim of accumulating as many ""Crash Dollars"" as possible). A new gameplay feature in Burnout Revenge is the ability to ram same-way small to medium traffic, known as ""traffic checking"", propelling the rammed car forward; the event in which a ""checked"" car hits a rival is considered as a Traffic Takedown. Traffic checking is the focus of a new race type, Traffic Attack (whereby a player must earn a set amount of Crash Dollars through checking traffic), which can be used later on."
Call of Duty - Finest Hour (USA) (v1.04).zip,Call of Duty - Finest Hour,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Call%20of%20Duty%20-%20Finest%20Hour%20%28USA%29%20%28v1.04%29.zip,05-Apr-2022 20:42,1.5 GiB,Shooter,8.3,https://thegamesdb.net/search.php?name=Call%20of%20Duty%20-%20Finest%20Hour&platform=11,https://thegamesdb.net/game.php?id=95524,"Although it is based on the original Call of Duty franchise for the PC, it has a completely different storyline and acts as a side-story/expansion of the main game. In the spirit of previous Call of Duty games, it features six intertwined stories and battles based on real events from the perspective of soldiers on each side of the allied campaign (U.S., British, and Soviet). This is the Finland version."
Call of Duty 2 - Big Red One (USA) (Collector's Edition).zip,Call of Duty 2 - Big Red One,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Call%20of%20Duty%202%20-%20Big%20Red%20One%20%28USA%29%20%28Collector%27s%20Edition%29.zip,28-Mar-2022 17:01,2.6 GiB,Shooter,8.4,https://thegamesdb.net/search.php?name=Call%20of%20Duty%202%20-%20Big%20Red%20One&platform=11,https://thegamesdb.net/game.php?id=4270,"The game follows the U.S. Army's 1st Infantry Division (the ""Big Red One"") from the sands of Africa to the rolling hillsides of Sicily and the beaches of Normandy and to the heart of Germany. On the way, new weapons, vehicles, and aircraft will be unlocked. The player gets to play with two American soldiers during World War II, as an aircraft gunner and an infantryman."
Call of Duty 3 (USA).zip,Call of Duty 3,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Call%20of%20Duty%203%20%28USA%29.zip,28-Mar-2022 09:55,2.5 GiB,Shooter,8.1,https://thegamesdb.net/search.php?name=Call%20of%20Duty%203&platform=11,https://thegamesdb.net/game.php?id=53080,"No overview is currently available for this title, please feel free to add one."
Castlevania - Curse of Darkness (USA).zip,Castlevania - Curse of Darkness,https://myrient.erista.me/files/Redump/Sony%20-%20PlayStation%202/Castlevania%20-%20Curse%20of%20Darkness%20%28USA%29.zip,29-Mar-2022 23:49,2.7 GiB,Action,8.1,https://thegamesdb.net/search.php?name=Castlevania%20-%20Curse%20of%20Darkness&platform=11,https://thegamesdb.net/game.php?id=5922,"Curse of Darkness is set in the year 1479, three years after the events of Castlevania III: Dracula's Curse. Though defeated by vampire hunter Trevor Belmont, Dracula's curse continues to ravage the European countryside, spreading disease, mob violence, and heresy in its wake. Amidst all this devastation is Hector, a Devil Forgemaster who had formerly worked under the employ of Dracula but betrayed him sometime during the events of Castlevania III. Eventually growing disgusted with Dracula's brutal methods, Hector leaves Castlevania and relinquishes his powers to live amongst humans, settling down to live a peaceful life. When Hector's fiance Rosaly is accused of witchcraft and burned at the stake, Hector learns that her murder was directed by his fellow Forgemaster, Isaac. Seeking revenge, Hector chases his former colleague back to his old home, and back to the demonic life he believed he had left behind him."
